_id,title,type_key,method_key,servings,cooking_time,difficulty,ingredients,cooking_steps,tips,recipe_type,spicy_level
673c36d38fad4e3c931171ba,"토마토 마리네이드&냉파스타, 새콤달콤 시원한 별미",샐러드,절임,1인분,60분 이내,초급,"['방울토마토(1.5kg)', '양파(1개)', '파슬리가루(1스푼)', '올리브오일(10스푼)', '발사믹식초(5스푼)', '레몬즙(2스푼)', '꿀(1.5스푼)', '소금(약간)', '통후추(약간)', '토마토 마리네이드(1컵)', '파스타면(1컵)', '소금(1스푼)', '파마산치즈(1스푼)']","['양파는 잘게 다져 준비해주세요양파(소) 1개', '방울토마토는 끓는물에 약 2분간 데쳐주세요. 칼집을 내면 좀더 편하긴 한데 안해도 상관없어요방울토마토 1팩(약 1.5키로)중간불', '데친 후에는 물을 버리고 찬물에 담궈 식혀주고 토마토 껍질을 벗겨줍니다.칼집을 내지않아도 이렇게 껍질이 터져서 벗기기 쉽고 터져있지 않더라도 껍질 분리가 잘 된답니다^^', '껍질을 벗긴 토마토와 다진 양파, 파슬리가루를 넣어주세요step1의 다진양파, 파슬리가루 약 1스푼', '올리브오일, 레몬즙, 발사믹식초, 소금, 후추, 꿀을 요리재료에 적힌 분량대로 넣어준 뒤 잘 섞어주세요올리브오일 10스푼, 발사믹식초 5스푼, 레몬즙 2스푼 꿀 1.5스푼, 소금 약간, 통후추 약간', '완성된 토마토 마리네이드는 소독한 유리병에 담아 보관하고 먹을만큼 꺼내먹으면 됩니다^^', '소금 약 1스푼을 넣고 파스타를 심지가 씹히지않게 푹 삶아주세요소금 1스푼, 파스타(펜네) 1컵, 물 약500ml강불파스타면이나 푸실리, 마카로니 등 사용하셔도 됩니다.', '다 삶은 파스타면은 물기를 빼주세요', '물기를 뺀 파스타면을 그릇에 담아 토마토 마리네이드를 얹어 버무려주세요취향에 따라 파마산 치즈 등을 같이 곁들여 드시면 됩니다']",[],"['채식', '저칼로리', '새콤달콤한맛', '양식', '가벼운']",매운맛없음
673c36d38fad4e3c93117d03,진한 국물의 배추닭곰탕으로 몸건강 챙기기!,국/찌개,끓이기,2인분,60분 이내,초급,"['닭(1팩)', '배추(적당량)', '양파(적당량)', '파(적당량)', '참기름(6~7T)', '물(적당량)', '통후추(10알)', '소주(3T)', '다진마늘(1T)', '소금(적당량)']","['저는 닭볶음탕용 닭을 준비했어요.깨끗하게 씻어준 후 물기를 빼둡니다.그리고 알배추는 적당량 먹을만큼 먹기 좋게 썰어주세요.양파도 적당량 채 썰어서 준비해줍니다.닭, 알배추, 양파', '이제 냄비에 참기름을 넉넉히 둘러줍니다.참기름 6~7스푼을 넉넉히 둘러주었어요. 그리고 닭을 넣어줍니다.참기름, 닭', '닭의 겉면이 익을정도로 잘 구워주세요.기름이 잘 튀니 조심해서 볶아주시면 됩니다. 완벽히 익히진 않으셔도 되요! :)', '닭의 겉면이 잘 익었으면 이제 물을 넣어줍니다.저는 처음에는 국물을 많이 넣진 않았어요. 끓이다보면 국물이 줄어들기도 하고 또 닭 살을 발라서 넣어주어야하기때문에 나중에 물을 더 넣어줄거라 적당히 넣어주고 진하게 우려주었습니다.물을 넣고 양파와 통후추도 넣어주세요. 통후추는 10알정도 넣었어요. 그리고 소주도 3스푼 넣고 끓여줍니다.물, 양파, 통후추, 소주', '파도 송송 썰어넣어 팔팔 끓여줍니다.사실 대파를 통으로 넣어주면 좋은데, 집에는 송송 썰어서 냉동보관해둔 파밖에 없어서 저는 저렇게 넣었어요.대파가 있으신 분들은 큼지막하게 썰어서 넣어주시면 좋아요.파', '끓어오르는 거품은 처음부터 걷어내지마시고 가운데로 모이는 거품이 있어요. :) 팔팔 끓였을때 가운데로 모이는 거품을 걷어내주세요.', '거품까지 걷어내고 나니 이렇게 뽀얘졌어요. 저는 거품을 걷어낸 후 중불로 줄여서 계속 끓여주었습니다.약 30~40분정도 끓여주었어요.', '3~40분정도 끓여준 후 넣어주었던 양파, 파, 후추, 닭을 채로 건져서 꺼내줍니다.그리고 닭을 제외한 모든 재료는 버려주고 닭은 뼈를 발라서 이렇게 살을 발라놓아주셔요.', '깊고 진하게 우러난 닭국 육수에 알배추를 넣고 한소끔 끓여줍니다. 그리고 보글보글 끓어오르면 다진마늘 1스푼을 넣고 한번 더 끓여주세요.배추가 조금 익었다싶으면 이제 원하시는 만큼의 물을 추가해주세요. 저는 국물을 좋아해서 넉넉히 넣었어요.배추, 다진마늘, 물', '배추 숨이 죽었다싶으면 맛소금으로 간을 맞춰주시면 배추닭곰탕 만들기 끝!소금', '알배추를 넣으니 더욱 개운하고 맛있어요.원래 샤브샤브 먹을때도 알배추 가득 넣어먹는데 이렇게 닭곰탕에도 넣어먹으니 너무 좋아요! 건강식으로도 좋구요.아이들도 잘 먹으니 이만한 국이 없습니다.', '요리시간이 조금 길긴해도 그만큼 깊은 육수의 맛이 느껴져서 더욱 좋아요! 건강도 챙길 수 있는 보양식이라 남녀노소 모두에게도 좋은 메뉴입니다. 밥 말아서 먹기도 좋아요!어유~좋다! 하면서 계속 국물을 먹게되는 맛입니다.오늘은 닭곰탕이 아닌 배추를 넣어서 더욱 달짝지근하고 깊고 개운하게 한번 만들어서 드셔보셔요. :)']",[],"['건강식', '고단백', '한식', '국']",매운맛없음
673c36d38fad4e3c93115d44,미역줄기 초무침~,반찬,무침,  ,,초급,"['미역줄기(2줌)', '무', '당근(약간)', '설탕(1스푼)', '식초(3스푼)', '소금(1/3스푼)', '설탕(1스푼)', '식초(5스푼)', '통깨(1/2스푼)', '다진마늘(1/4스푼)', '소금(1/4스푼)', '연겨자(약간)']","['염장된 미역줄기 2줌정도를 2~3번정도 헹궈서 소금을 씻어낸후..', '물을 충분히 붓고 20~30분가량 담궈서 짠맛을 빼줍니다...', '그런다음 먹기좋은 크기로 썰어 준비합니다', '무는 최대한 얇게 채썰어준후...', '분량의 설탕,식초,소금을 넣어 버무리고 10분가량 재워둔후 물기를 짜낸후 사용합니다', '이렇게 절인 무우와 채썬 당근, 다진마늘1/4스푼정도를 준비합니다...', '분량의 설탕,식초,통깨,다진마늘,소금을 넣고 잘 섞어 버무릴 양념소스를 만들어 놓습니다', '여기에 연겨자약간을 넣어주면 맛이 더 좋은데요 여의치않으시면 생략하셔두 무방합니다', '이제 준비해논 모든재료와 양념소스를 함께 넣고 살살~ 버무려 주면완성입니다...^^']",[],"['한식', '반찬', '저칼로리', '무침', '고섬유', '새콤달콤한맛']",매운맛없음
673c36d38fad4e3c93117b22,[할로윈 핑거푸드] 단호박에그샌드위치,빵/과자,삶기,4인분,30분 이내,초급,"['식빵(8장)', '단호박(1컵)', '계란(3개)', '크림치즈(1큰술)', '휘핑크림(1큰술)', '설탕(1큰술)', '소금(조금)', '마요네즈(1큰술)']","['오렌지 단호박이예요..껍질이 얇아서 감자칼로 깎아도 잘 깍여요.', '단호박은 잘게 썰어 전자렌지에 7~8분 돌려 푹 익혀주세요.', '달걀은 끓는물에 넣어6~7분 삶아요.', '식초나 소금 필요없이 물이 끓고나서 계란을 넣어 삶으면..껍질이 잘 까져요..', '찐 단호박을 으깨고,', '계란3개도 넣어 으깨요.', '크림치즈1큰술,휘핑크림1큰술,설탕1큰술,소금 약간 넣고 섞어요.', '잘 섞어주고 취향따라 크림치즈,휘핑크림,설탕,소금 더 넣으세요..^^', '식빵에 마요네즈를 살살 발라요.', '빵 한쪽에 단호박토핑을 올려 다른 빵을 덮고 살짝 눌러주세요.']",['햄이나 치즈를 곁들여도 맛나요..'],"['고단백', '저칼로리', '퓨전']",매운맛없음
673c36d38fad4e3c931162f7,일본식 계란찜 차왕무시 푸딩같은 식감,반찬,찜,2인분,20분 이내,초급,"['달걀(2개)', '다시국물(200ml)', '미림(1T)', '소금(1꼬집)', '대파(6조각)']","['먼저 다시국물을 준비해주세요.뜨거운 물에 가쓰오부시를 넣고 5분정도 담가둔 후 건져낸 국물도 좋고멸치다시마육수를 활용해주어도 좋지만저는 간편하게 국시장국을 1/3컵 넣고 물을 타주었답니다.', '달걀두개는 볼에 깨준 후 소금간을 살짝 해주었어요.한두 꼬집 정도면 충분하고간이 세지 않은게 특징이에요.미림도 한큰술정도 넣어 비린맛을 제거해주세요.', '간을 해주고 잘 풀어둔 계란물에 준비해둔 다시육수 200ml를 모두 넣어 잘 풀어주세요.', '일본식 계란찜 혹은 푸딩같은 식감을 만들 분들은 이렇게 꼬옥 걸러내줌이 필요해요.거르지 않으면 텁텁한 식감이 생길 수 있고 모양이 고르지 않을 수 있어요.', '이제 적당한 그릇에 인분씩 나누어 담아주면 되는데요.2/3지점이 넘지 않도록 담아주고달걀 1개의 양은 밥공기 1개의 2/3정도 양이 된다고 생각하시면 돼요.', '이제 넓은 냄비에 채반을 올리고채반이 닿지 않을 만큼의 물을 올려준 후 계란물을 올려주세요.사기 그릇을 이용해주셔야겠죠?', '중요한 점은 이렇게 꼭 입구를 막을 수 있을 정도로 뚜껑을 덮어주셔야해요.그릇뚜껑을 덮지 않으면 수분이 들어가 푸딩같은 식감을 만들 수 없어요,', '뚜껑까지 덮어준 후 불을 켜고 15분간 익혀주면 끝이랍니다.물이 끓은 후 15분이 아닌 뚜껑을 덮어준 후 15분이면 충분히 익어요.15분간 익혀주다가 5분정도가 지난 후 물이 끓는 소리가 들리면그 때는 강불에서 중불로 줄여준 후 남은 시간동안 익혀주면 끝이에요.', '15분 후 꺼내줄 때는 뜨거우니 장갑 등을 활용해 조심히 꺼내준 후대파로 데코해주면 끝칵테일 새우나 홍고추 등을 이용해 데코해줘도 좋아요.']",['그릇은 꼭 덮어서 익혀주어야 기포가 생기지 않은 푸딩같은 계란찜이 완성돼요.'],"['전통식', '고단백', '저칼로리', '일식', '찜']",매운맛없음
673c36d38fad4e3c931181c7,투움바 파스타 만들기 - 점심메뉴로 맛나게 먹었답니다~~~,면/만두,볶음,1인분,30분 이내,초급,"['신라면(1봉)', '체다치즈(2장)', '양파(1/2개)', '우유(250ml)', '마늘(5개)', '칵테일새우(10마리)', '후추(약간)', '소금(약간)']","['신라면 투움바 파스타 재료 알아봅니다~~~ 신라면 1봉, 체다치즈 2장, 양파 반개. 우유 250ml, 마늘 5개, 칵테일새우 10마리~~ 준비했어요 ㅋㅋㅋ', '먼저 양파는 채썰고 마늘은 편으로 썰어줍니다~~~', '신라면 1개는 삶아서 채에 바쳐서 헹군다음~~~ 물기를 빼줍니다!!!! 물기가 빠지는 동안~~', '팬에 올리브오일 넣고~~ 마늘을 약간 노릇하게 볶고~~', '양파도 같이 볶다가 새우넣고 후추약간, 소금약간 넣고~~~', '볶아줍니다~~~', '우유 한컵 넣으시고~~~', '우유가 끓기 시작하면 스프 반봉 넣어줍니다!!!', '체다치즈 슬라이스 2장 넣고~~~', '준비된 신라면 삶은면을 넣어주세요!!', '삶은면을 넣고 볶아주면~~~ 신라면 투움바 파스타 완성입니다!!!!']",[],"['고단백', '해산물', '양식', '매운맛3단계']",매운맛3단계
673c36d38fad4e3c931171d3,키위드레싱의 달걀샐러드,샐러드,회,3인분,15분 이내,초급,"['달걀(2개)', '샐러드채소', '헴프씨드', '키위(1개)', '올리브오일(1큰술)', '레몬즙(1작은술)', '화이트발사믹식초(1큰술)', '꿀(1/2큰술)', '소금', '후추']","['키위를 으깨고 드레싱 재료를 섞는다:일반식초를 사용할 경우 꿀의 양을 늘려주세요.', '샐러드채소를 씻어 물기를 빼둔다:양상추 등 다양한 잎채소를 사용할 수 있어요.', '당근은 채썬다:입맛껏 냉장고 사정껏 어떤 채소를 사용해도 좋아요.', '실온의 달걀을 끓는 물에 넣고 7분내외로 삶은 후 찬물에 담궜다 껍질을 깐다:냉장고에서 바로 꺼낸 달걀은 처음부터 물과 함께 넣어 12분내외로 삶아주세요.', '채소와 삶은달걀을 접시에 담고', '키위드레싱을 뿌리고 헴프씨드나 다진견과류를 뿌린다.']",[],"['샐러드', '고단백', '저칼로리', '저염식']",매운맛없음
673c36d38fad4e3c9311536d,꽈리고추 감자조림,반찬,조림,3인분,30분 이내,초급,"['감자(2개)', '꽈리고추(8개)', '쪽파(3뿌리)', '식용유(1스푼)', '육수(1컵)', '다진 마늘(1/3스푼)', '간장(3스푼)', '물엿(2스푼)', '맛술(1스푼)', '후춧가루(톡톡)', '참기름(1스푼)', '통깨(약간)']","['감자와 꽈리고추 쪽파를 준비해 주세요', '감자는 부서지지 않도록 조금 크게 자릅니다', '자른 감자는 물에 잠시 넣어서 전분기를 빼주세요', '꽈리고추는 반으로 자르고 쪽파도 2cm 정도로 자릅니다', '전분기 빠진 감자는 물기를 빼주세요', '볶음팬에 중불로 식용유 1스푼과 다진 마늘과 감자를 넣고 자른 감자의 겉이 투명해질 때까지 볶아주세요', '겉이 투명해지면 물이나 육수 200ml 넣어 주세요', '간장 3스푼 물엿 1스푼을 잘 저어주세요', '양념 넣고 감자가 익도록 뚜껑을 덮어주세요', '소스가 어느 정도 졸았으면 5분 후 뚜껑을 열고 2분 정도 국물을 졸이듯 살살 볶아주세요', '국물이 조금 남았을 때 꽈리고추와 쪽파를 넣고 2분간 간이 배도록 볶아주세요', '마지막 물엿 2스푼 중 남은 1스푼과 맛술 1스푼 넣고 한소끔 볶은 후 후춧가루도 톡톡 넣고 참기름도 넣어 완성해 주세요', '고추가 조금 간이 배고 익혀서 먹으려면국물이 졸아들기 전에 넣으시면 됩니다오늘은 꽈리고추를 아삭이는 식감으로 졸였어요', '그릇에 담고 통깨도 뿌려주세요 파슬한 감자에 양념도 잘 배이고 맛있어요꽈리고추도 넣어 매콤한 단짠이 매력적입니다']",['감자는 부서지지 않도록 조금 크게 자른 후 물에 잠시 넣어서 전분기를 빼 놓아요 그리고 레시피 시간대로만 조리하면 잘 익고 간도 잘 배여 맛있어요'],"['한식', '반찬', '조림', '매운맛1단계', '저칼로리']",매운맛1단계
673c36d38fad4e3c93116e67,생크림 양송이스프,스프,끓이기,2인분,30분 이내,초급,"['양송이 버섯(6개)', '양파(1/3개)', '생크림(150ml)', '우유(150ml)', '밀가루(2스푼)', '버터', '소금(약간)', '후추(약간)']","['양송이와 양파는 슬라이스로 손질해 썰어서 준비해주세요.버섯 손질법 레시피', '버터를 녹인 팬에 먼저 양파를 넣고 반투명해질때까지 볶아주다가, 양송이를 넣고 또 살짝 볶아주세요.', '볶아진 양송이와 양파에 밀가루를 넣고 타지않게 살살 3분 정도 볶아주고, 준비한 생크림과 우유를 넣고 살짝 끓여주세요.', '이제 핸드블렌더나 믹서에 넣고 원하시는 만큼 갈아주세요. 저는 살짝 작은 알갱이들이 있게 갈아주었어요. 버섯의 씹이는 알갱이들이 조금 있는 정도로. 그리고는 다시 냄비에 넣고 보글보글 끓여서 소금과 후추로 간을 해주면 완성입니다.', '살짝 바삭하게 구운 식빵에 콕! 찍어서 먹으면 너무 맛있죠.']",['양송이는 항암과 향균 작용이 뛰어난 버섯이라고 합니다. 렌티나신이라는 성분이 함유돼 있어 항혈전작용을 해준다고 하네요. 면역력을 기르는데도 좋다고 하니 아이들에기 아주 좋은 식품인것 같네요.'],"['양식', '스프']",매운맛없음
673c36d28fad4e3c93114bca,"장조림 만드는 법, 소고기 장조림, 계란 달걀 장조림",반찬,조림,4인분,30분 이내,초급,"['소고기 홍두깨살(2근)', '간장(1.5컵)', '설탕(4큰술)', '생강(1쪽)', '물(2L)', '마늘(10알)', '삶은계란(적당량)']","['준비한 두툼한 고기를 짧은 조리시간을 위해 이렇게 옆으로 저며주었어요.', '냄비에 찬물을 고기와 함께 담고 끓입니다.', '이렇게 부글부글 핏물이 올라오네요, 5분 정도만 끓이고 고기를 채에 거른 후, 이 물은 버리는거예요~ 그래야 냄새 없이 깨끗합니다.', '100% 삶아지지는 않은, 핏물과 불순물은 빠진 상태입니다.', '다시 깨끗한 냄비에 물을 바글바글 끓여 주세요.', '끓는 물에 미리 애벌로 삶았던 고기와 설탕 4큰술을 넣는답니다.', '계속 올라오는 거품은 깨끗이 걷어 주고요~ 간장도 1컵반을 넣어주세요.', '간장 넣을 때 미리 삶아놓은 계란이나 메추리알도 함께 넣어줍니다. 저는 달걀의 양이 어마어마하죠 ㅎ', '그렇게 다시 바글바글 약 20분정도, 상태를 봐 가면서 끓이고 조리세요.이 때 준비한 마늘도 넣고, 고추가 있으면 함께 넣어주어요~마늘과 계란은 색깔이 들면 먼저 꺼내주세요. 조림물이 넉넉하기때문에 까맣게 되지않아도 완성 후 냉장고에 두면 점점 진해지니 너무 진하지 않을 때 꺼내도 된답니다. 고기는 꺼내보아 야들야들 잘 찢어질 때 꺼내면 됩니다.', '고기는 먹기좋게 썰거나 찢으면 완성입니다.', '짜지않고 그렇다고 싱겁지도 않게 감칠맛이 나는 장조림이예요, 계란도 물 잘 들었고요, 맛있게 드세요 :D']",[],"['고단백', '한식', '반찬', '조림']",매운맛없음
